id,title,description,date,url,source,country,category
21,Ukraine: Discrimination and hope drive LGBTQ+ soldiers,"Up to 10% of Ukrainian soldiers are thought to be from the LGBTQ+ community. While tolerance is improving, Ukraine still does not guarantee legal equality.",2025-07-04,https://www.dw.com/en/ukraine-discrimination-and-hope-drive-lgbtq-soldiers/a-73109319?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Social Issues
22,Cape Verde celebrates 50 years of independence,"Since gaining freedom from Portugal on July 5, 1975, Cape Verde is regarded as one of West Africa's most stable nations. Overcoming low literacy and inadequate healthcare are just some of its achievements.",2025-07-04,https://www.dw.com/en/cape-verde-celebrates-50-years-of-independence/a-73135520?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Portugal,Technology
23,Football: Ghana star Partey charged with rape in UK,Former Arsenal midfielder Thomas Partey has been charged with five counts of rape in the United Kingdom. The Ghanaian international denies any wrongdoing.,2025-07-04,https://www.dw.com/en/football-ghana-star-partey-charged-with-rape-in-uk/a-73160584?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ghana,Sports
24,Do EU structures enable far-right misuse of public money?,A leaked audit accuses far-right parties of improperly spending millions in EU funds. Critics say it's not just a scandal but a symptom of the EU system's deeper problems.,2025-07-04,https://www.dw.com/en/do-eu-structures-enable-far-right-misuse-of-public-money/a-73156915?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Culture
25,'One event' arms pause troubling for Ukraine,"The US says its pause on arms shipments is a one-off. But amid the turbulent US-Ukraine relationship, the assurance is little comfort to Volodymyr Zelenskyy or his European supporters.",2025-07-04,https://www.dw.com/en/one-event-arms-pause-troubling-for-ukraine/a-73144853?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Politics
26,Can BRICS project unity amid global tensions?,"The influence of BRICS, a global forum championed by China, Russia, and India, is on the rise. Still, even its major members have to negotiate internal conflicts amid challenges posed by the Trump administration.",2025-07-04,https://www.dw.com/en/can-brics-project-unity-amid-global-tensions/a-73158174?maca=en-rss-en-all-1573-rdf,Deutsche Welle,China,Conflict
27,Why is Iran doubling down on its nuclear program?,"Tehran seems defiant on its nuclear ambitions despite the recent war. The nuclear program, launched with US help during the Shah era, was always a show of strength. Now, it also symbolizes the regime's resilience.",2025-07-04,https://www.dw.com/en/why-is-iran-doubling-down-on-its-nuclear-program/a-73159108?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Iran,Conflict
28,Should we panic about interstellar comet 3I/ATLAS?,"Sometimes ""the universe comes to us,"" writes the European Space Agency. For the third time since 2017, an interstellar object will enter our solar system. What is it and are we prepared?",2025-07-04,https://www.dw.com/en/should-we-panic-about-interstellar-comet-3i-atlas/a-73157878?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Science
29,EU and Germany push for a new World Trade Organization,"Brussels and Berlin have launched a new initiative aimed at bypassing the long-standing paralysis of the World Trade Organization, as caused by the United States. But how viable is such a solution?",2025-07-04,https://www.dw.com/en/eu-and-germany-push-for-a-new-world-trade-organization/a-73143928?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Business
30,EU-US trade talks: Crunch time looms with no deal in sight,EU and US negotiators are attempting to finalize a deal on tariffs before an impending deadline on July 9. Experts say a no-deal scenario is possible.,2025-07-04,https://www.dw.com/en/eu-us-trade-talks-crunch-time-looms-with-no-deal-in-sight/a-73151994?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Conflict
31,Euro 2025: Plucky newcomer Wales to battle football's giants,"Two decades ago, Wales’ women’s team was prevented from playing by their own bosses because money was needed for the Welsh men's games. Now the women are making their tournament debut.",2025-07-04,https://www.dw.com/en/euro-2025-plucky-newcomer-wales-to-battle-football-s-giants/a-73027856?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United Kingdom,Sports
32,Ozzy Osbourne and Black Sabbathput on one last show,"On July 5, Ozzy Osbourne will reunite with Black Sabbath in his hometown of Birmingham for a farewell concert. Here's a look at the wild life of the ""Prince of Darkness,"" including the time he bit the head off a bat.",2025-07-04,https://www.dw.com/en/ozzy-osbourne-and-black-sabbathput-on-one-last-show/a-73034464?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United Kingdom,Entertainment
33,Ukraine hit by major attack as Trump says Putin won't 'stop',"Russia attacked Ukraine with 550 drones and missiles, as US President Donald Trump said he was disappointed by his latest call with Vladimir Putin.",2025-07-04,https://www.dw.com/en/ukraine-hit-by-major-attack-as-trump-says-putin-won-t-stop/live-73150663?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Politics
34,"Kidjo, Padukone make Hollywood Walk of Fame history",Angelique Kidjo and Deepika Padukone are among several international celebrities recognized alongside American stars such as Miley Cyrus and Timothee Chalamet.,2025-07-03,https://www.dw.com/en/kidjo-padukone-make-hollywood-walk-of-fame-history/a-73150132?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Culture
35,Russia: Is Moscow losing Azerbaijan as an ally?,Relations between Russia and Azerbaijan have cooled following contentious arrests in both countries. Russia may be about to lose even more influence in the Caucasus.,2025-07-03,https://www.dw.com/en/russia-is-moscow-losing-azerbaijan-as-an-ally/a-73147334?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Russian Federation,Technology
36,Euro's climb vs. dollar signals trouble for EU exporters,"Donald Trump's tariffs were meant to prop up the dollar, but the opposite happened. With the euro and others strengthening against the US currency, European exporters and US offshorers could soon feel the pinch.",2025-07-03,https://www.dw.com/en/euro-s-climb-vs-dollar-signals-trouble-for-eu-exporters/a-73103018?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Technology
37,Germany sees surge in shoplifting cases,"A new survey of major German retailers has found a rise in theft, committed by organized gangs or by individuals who find it ever more difficult to make ends meet. But some criminologists doubt the figures.",2025-07-03,https://www.dw.com/en/germany-sees-surge-in-shoplifting-cases/a-73145599?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Conflict
38,Ukraine updates: Zelenskyy in Denmark to discuss cooperation,Ukrainian President Volodymyr Zelenskyy is meeting Danish Prime Minister Mette Fredericksen and European Commission President Ursula von der Leyen.,2025-07-03,https://www.dw.com/en/ukraine-updates-zelenskyy-in-denmark-to-discuss-cooperation/live-73140417?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Politics
39,French air traffic controller strike strands thousands,"Airlines have had to cancel hundreds of flights as airport staff went on strike, leaving tens of thousands of passengers in the lurch as the summer travel season gets under way.",2025-07-03,https://www.dw.com/en/french-air-traffic-controller-strike-strands-thousands/a-73140444?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Technology
40,Blackpink: The K-pop phenomenon is back on tour,"They're more than a South Korean girl group: As Blackpink kick off their ""Deadline World Tour"" on July 5, a look at how Jisoo, Jennie, Rosé and Lisa break records and set global trends.",2025-07-03,https://www.dw.com/en/blackpink-the-k-pop-phenomenon-is-back-on-tour/a-73115308?maca=en-rss-en-all-1573-rdf,Deutsche Welle,South Korea,General
41,Tour de France 2025: Five things to know,The 112th edition of the Tour de France is the first in five years to be held exclusively in France. DW fills you in on what you need to know.,2025-07-03,https://www.dw.com/en/tour-de-france-2025-five-things-to-know/a-73068134?maca=en-rss-en-all-1573-rdf,Deutsche Welle,France,General
42,Liverpool striker Diogo Jota dies in car crash,"The 28-year-old Portuguese international died near Zamora, in the northwest of Spain. Jota's brother, Andre Silva, also a professional footballer in Portugal, also perished in the accident.",2025-07-03,https://www.dw.com/en/liverpool-striker-diogo-jota-dies-in-car-crash/a-73137948?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Spain,Sports
43,What are urban heat islands?,"Rising global temperatures pose big challenges for city living and fuel talk of ""urban heat islands."" What are they and why do they matter?",2025-07-03,https://www.dw.com/en/what-are-urban-heat-islands/a-73125012?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Unknown,Culture
44,Who were Uralic people? Researchers solve an ancient mystery,"Genetic research traced the ancestral homeland of Uralic people, whose descendants live in Russia, Hungary, Finland and Estonia. But that's not the full story.",2025-07-03,https://www.dw.com/en/who-were-uralic-people-researchers-solve-an-ancient-mystery/a-73136278?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Russian Federation,Science
45,What is BRICS and why does it matter?,"BRICS leaders meet in Brazil this weekend to advance plans to challenge Western dominance. As more nations join the economic bloc, how will BRICS reshape power, trade and influence in a rapidly shifting world?",2025-07-03,https://www.dw.com/en/what-is-brics-and-why-does-it-matter/a-73087358?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Brazil,Business
46,Von der Leyen's European Commission faces no-confidence vote,Messages over COVID vaccines have cast a shadow over Ursula von der Leyen's presidency of the European Commission and the Commission's commitment to transparency.,2025-07-02,https://www.dw.com/en/von-der-leyen-s-european-commission-faces-no-confidence-vote/a-73128322?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Japan,Elections
47,"Amid severe heat wave, EU pitches flexible 2040 climate goal","The EU has unveiled its new climate target, a 90% reduction in emissions by 2040. But not all member states are on board, while a provision to outsource part of the climate efforts abroad has generated controversy.",2025-07-02,https://www.dw.com/en/amid-severe-heat-wave-eu-pitches-flexible-2040-climate-goal/a-73125560?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Unknown,Conflict
48,"Sean 'Diddy' Combs verdict: A trial on fame, consent and #MeToo","The Sean ""Diddy"" Combs' trial tested the limits of fame, power, consent and of the #MeToo movement in an era of AI misinformation and manosphere backlash.",2025-07-02,https://www.dw.com/en/sean-diddy-combs-verdict-a-trial-on-fame-consent-and-metoo/a-73116733?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Saint Kitts and Nevis,Technology
49,DNA shows ancient Egyptians had surprising foreign roots,"Scientists have sequenced the oldest known DNA from ancient Egypt. It belonged to a potter who lived 4,500 years ago. This rare genetic snapshot offers new insights into the diverse ancestry of early Egyptians.",2025-07-02,https://www.dw.com/en/dna-shows-ancient-egyptians-had-surprising-foreign-roots/a-73114279?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Egypt,Science
50,Euro 2025: How is Germany shaping up?,A shock group stage exit at the 2023 World Cup and a number of retirements mean a new look Germany face their first big test at Euro 2025. Germany are the most successful team in Euros history with eight titles.,2025-07-02,https://www.dw.com/en/euro-2025-how-is-germany-shaping-up/a-73114583?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Sports
51,EU proposes 2040 climate target with carbon credit allowance,The European Commission proposed setting 2040 as the target for a 90% reduction of greenhouse gas emissions. The EU wants to be carbon neutral by 2050.,2025-07-02,https://www.dw.com/en/eu-proposes-2040-climate-target-with-carbon-credit-allowance/a-73115660?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Legal
52,Women's Euro 2025: Zero tolerance for discrimination,"Organizers of Euro 2025 in Switzerland will be placing a particular emphasis on human rights, drawing on experiences UEFA gained at the 2024 Men's European Championship in Germany.",2025-07-02,https://www.dw.com/en/women-s-euro-2025-zero-tolerance-for-discrimination/a-73050730?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Switzerland,Technology
53,Europe heat wave intensifies as fresh warnings issued,"Record-setting temperatures have forced school closures across Europe, with Spain and Portugal bearing the brunt of the heat wave. At least four people have died amid the extreme weather.",2025-07-02,https://www.dw.com/en/europe-heat-wave-intensifies-as-fresh-warnings-issued/live-73108302?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Spain,Culture
54,Extreme heat's hidden health and economic toll,"Heat waves are deadly. As they grow more intense and frequent, their toll is mounting, from overwhelmed hospitals to lost labor hours. But countries can adapt to protect lives and the economy.",2025-07-02,https://www.dw.com/en/extreme-heat-s-hidden-health-and-economic-toll/a-73036205?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Unknown,Business
55,Germany updates: Merz backs not flying rainbow flag,"Germany's chancellor supported the move not to fly the rainbow flag on the Reichstag building, saying ""the Bundestag is not a circus tent."" Meanwhile, Germans try to keep cool amid heatwave conditions.",2025-07-02,https://www.dw.com/en/germany-updates-merz-backs-not-flying-rainbow-flag/live-73114070?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Politics
56,India accuses Prada of cultural appropriation over sandals,Traditional Kolhapuri chappals have inspired a new Prada design. The luxury brand only acknowledged this fact after critics accused it of replicating the iconic sandals without recognizing the footwear's cultural roots.,2025-07-02,https://www.dw.com/en/india-accuses-prada-of-cultural-appropriation-over-sandals/a-73106939?maca=en-rss-en-all-1573-rdf,Deutsche Welle,India,Technology
57,Too hot to handle: Is this heat the new normal?,"Heat waves are becoming ever more extreme in many places around the world. Sweltering hot temperatures are putting a strain on our bodies, disrupting society and crippling our infrastructure. Can the world adapt?",2025-07-02,https://www.dw.com/en/too-hot-to-handle-is-this-heat-the-new-normal/a-73102745?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Unknown,Science
58,Ukraine updates: US halts some missile deliveries to Kyiv,"The halt of some US weapons shipments represents a blow to Kyiv's efforts to fend off Russia's attacks. Meanwhile, French President Macron and Russia's Putin held talks for the first time in over two-and-a-half years.",2025-07-02,https://www.dw.com/en/ukraine-updates-us-halts-some-missile-deliveries-to-kyiv/live-73113610?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Politics
59,Airlines in turbulence as flight risks rise amid conflicts,"A range of global conflicts, from Ukraine to the Middle East, are reshaping global aviation. Airlines not only have to avoid certain airspaces but also be prepared for possible interference in their flight systems.",2025-07-01,https://www.dw.com/en/airlines-in-turbulence-as-flight-risks-rise-amid-conflicts/a-73107386?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Technology
60,Middle East's cultural treasures vulnerable to conflicts,"During the Israel-Iran war, the countries traded missile and rocket fire that killed and injured hundreds of civilians and put the region's cultural heritage at risk. How can artifacts and historical sites be protected?",2025-07-01,https://www.dw.com/en/middle-east-s-cultural-treasures-vulnerable-to-conflicts/a-73094168?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Israel,Business
61,Germany updates: Iran's envoy summoned over suspected spy,"The German Foreign Ministry said it will not tolerate ""any threat to Jewish life"" in the country. Meanwhile, Germans have been grappling with Europe's first major heat wave this summer. Follow DW for the latest.",2025-07-01,https://www.dw.com/en/germany-updates-iran-s-envoy-summoned-over-suspected-spy/live-73098840?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Conflict
62,Heat exhaustion or heat stroke: What to do in an emergency,"In recent years, the arrival of summer has been accompanied by record high temperatures. Here's how to stay safe.",2025-07-01,https://www.dw.com/en/heat-exhaustion-or-heat-stroke-what-to-do-in-an-emergency/a-66043116?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,General
63,Lost Nazi-era novel becomes bestseller,"Historian and journalist Sebastian Haffner was 24 when he penned an unpublished romance novel set amid Hitler's ominous rise to power. Almost a century later, it's a literary sensation.",2025-07-01,https://www.dw.com/en/lost-nazi-era-novel-becomes-bestseller/a-73099773?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,General
64,Azerbaijan police raid Russia's Sputnik media offices,"Azerbaijan's police have stormed Sputnik's Baku bureau, detaining staff as ties with Moscow sour. The raid follows the deaths of two Azerbaijanis in a Russian police operation last week.",2025-06-30,https://www.dw.com/en/azerbaijan-police-raid-russia-s-sputnik-media-offices/a-73097961?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Azerbaijan,Technology
65,Europe heat wave continues as UN chief warns of 'new normal',"Record-breaking heat continues to scorch most of Western Europe. Spain broke its June heat record, and extreme temperatures are expected to move toward Germany by midweek.",2025-06-30,https://www.dw.com/en/europe-heat-wave-continues-as-un-chief-warns-of-new-normal/a-73097029?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Spain,Culture
66,Greek government in crisis after EU subsidy scandal,EU subsidies for growing bananas on Mount Olympus? A scandal concerning illegally obtained EU agricultural subsidies has rocked Greece and led to a number of resignations.,2025-06-30,https://www.dw.com/en/greek-government-in-crisis-after-eu-subsidy-scandal/a-73095982?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Greece,Politics
67,"No Pride, no Palestine: Bundestag boss claims neutrality",Julia Klöckner was seen as a surprise choice for Bundestag president — a role that traditionally requires a calm and neutral presence. But Klöckner is an outspoken woman with a taste for pointed language.,2025-06-30,https://www.dw.com/en/no-pride-no-palestine-bundestag-boss-claims-neutrality/a-73095996?maca=en-rss-en-all-1573-rdf,Deutsche Welle,"Palestine, State of",Politics
68,Germany slashes development aid to boost defense spending,Germany is ramping up defense spending — while cutting funds for development cooperation. Aid organizations warn of the consequences for millions of people in a world beset by wars and crises.,2025-06-30,https://www.dw.com/en/germany-slashes-development-aid-to-boost-defense-spending/a-73093270?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Conflict
69,'Tipflation:' The growing pitfalls of proper tipping,"Unwritten rules for tipping differ across the world. But a lot of these rules are being stretched to include more workers, and they aren't afraid to ask for 25%. What are shoppers, diners and package recipients to do?",2025-06-30,https://www.dw.com/en/tipflation-the-growing-pitfalls-of-proper-tipping/a-73016403?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Unknown,Conflict
70,Germany: Social Democrats urge ban on far-right AfD party,The Social Democrats say the first legal steps should be taken to ban the far-right Alternative for Germany party as unconstitutional. Conservative lawmakers are less keen on the idea of banning the AfD.,2025-06-30,https://www.dw.com/en/germany-social-democrats-urge-ban-on-far-right-afd-party/a-73087281?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Politics
71,Euro 2025: 5 things to know about the football tournament,Sixteen of Europe's premier women's national teams are set to compete for continental supremacy. The tournament kicks off in Switzerland on July 2.,2025-06-30,https://www.dw.com/en/euro-2025-5-things-to-know-about-the-football-tournament/a-72924593?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Switzerland,Sports
72,How the manosphere is making misogyny mainstream,Misogynistic influencers with millions of followers propagate toxic masculinity in what has become known as the manosphere.,2025-06-30,https://www.dw.com/en/how-the-manosphere-is-making-misogyny-mainstream/a-73060131?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Unknown,Technology
73,Turkey's largest opposition party CHP set for showdown,"The CHP's presidential candidate is in prison, and its chairman under investigation. Now, a court case is looming. Turkey's largest opposition party, the CHP, is facing a litmus test.",2025-06-30,https://www.dw.com/en/turkey-s-largest-opposition-party-chp-set-for-showdown/a-73067791?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Politics
74,Germany updates: Angela Merkel critcizes asylum policy,"German ex-Chancellor Angela Merkel has slammed the rejection of asylum-seekers at the border under the current government. Meanwhile, the debate on banning the far-right AfD has gained momentum.",2025-06-30,https://www.dw.com/en/germany-updates-angela-merkel-critcizes-asylum-policy/live-73082811?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Politics
75,"In eastern Germany, youths embrace nationalism, extremism","In many parts of eastern Germany, showing Nazi symbols is no longer seen as a provocation. Authorities are warning that more and more young people are becoming radicalized. DW explored the reasons in the city of Dessau.",2025-06-30,https://www.dw.com/en/in-eastern-germany-youths-embrace-nationalism-extremism/a-73062295?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Conflict
76,Ukraine updates: Kyiv set to quit anti-land mine treaty,"President Volodymyr Zelenskyy has signed off on Ukraine's withdrawal from Ottawa Convention that bans the use of land mines. Meanwhile, Kyiv confirmed the loss of an F-16 fighter jet.",2025-06-29,https://www.dw.com/en/ukraine-updates-kyiv-set-to-quit-anti-land-mine-treaty/live-73081732?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Ukraine,Politics
77,Europe swelters as early summer heat breaks records,"With temperatures in Spain setting new records for June, authorities warn the heat will intensify through midweek in Europe. The tennis tournament Wimbledon is set for its hottest opening day on record.",2025-06-29,https://www.dw.com/en/europe-swelters-as-early-summer-heat-breaks-records/a-73085364?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Spain,Culture
78,Nearly 20% of cancer drugs defective in 4 African nations,"Across Africa, cancer medications have been found to be substandard or counterfeit. That means people are being given medicine that may not work, or that could even cause them harm.",2025-06-29,https://www.dw.com/en/nearly-20-of-cancer-drugs-defective-in-4-african-nations/a-73062221?maca=en-rss-en-all-1573-rdf,Deutsche Welle,United States,Health
79,Germany: Social Democrats pick Bärbel Bas as new co-leader,"Germany's Social Democratic Party has elected its new leadership, placing Bärbel Bas in office alongside her reelected co-chair Lars Klingbeil.",2025-06-29,https://www.dw.com/en/germany-social-democrats-pick-bärbel-bas-as-new-co-leader/a-73079923?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Politics
80,Germany and COVID-19: What went wrong?,The German parliament is seeking to assess the political impact of the COVID-19 pandemic. Former Health Minister Jens Spahn is under attack over the possible misuse of public funds.,2025-06-28,https://www.dw.com/en/germany-and-covid-19-what-went-wrong/a-73062579?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Germany,Politics
81,Are designer handbags linked to illegal deforestation?,"Leather from cattle raised in deforested areas and on Indigenous land in the northern Brazilian state of Para is being turned into luxury items in Italy, according to an investigation.",2025-06-28,https://www.dw.com/en/are-designer-handbags-linked-to-illegal-deforestation/a-73044312?maca=en-rss-en-all-1573-rdf,Deutsche Welle,Italy,Conflict
